K,gamma,D,Kc,N,dt,burn_time,sample_time,sample_stride,seed,mean_r,sd_r,samples
0.29999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.053613923114477983,0.026833096678717552,3200
0.29999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.058708909732798194,0.028142249590547411,3200
0.29999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.052017619374253907,0.02898326847050298,3200
0.45000000000000001,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.066969395903452855,0.032268955757258813,3200
0.45000000000000001,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.072487192805662376,0.03334822585270858,3200
0.45000000000000001,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.065848430374856756,0.034793249475502649,3200
0.59999999999999998,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.079854166572904561,0.040241394422710124,3200
0.59999999999999998,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.073828932219413682,0.036642954408687166,3200
0.59999999999999998,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.081174923678764638,0.041927920463615653,3200
0.68000000000000005,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.12951896620190001,0.050632424958551144,3200
0.68000000000000005,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.13156643135721682,0.069367146100170474,3200
0.68000000000000005,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.11458764549526602,0.041425796687882863,3200
0.71999999999999997,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.094925618581080576,0.04467272455212206,3200
0.71999999999999997,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.16691891305861309,0.062954301039000959,3200
0.71999999999999997,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.15219960010528036,0.049872331055367876,3200
0.73999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.11295715145483229,0.06971349278514663,3200
0.73999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.22350981241314738,0.074878231566363279,3200
0.73999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.13539701982252914,0.065487588110575437,3200
0.76000000000000001,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.19604536955332588,0.048562033637976586,3200
0.76000000000000001,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.27136330260993968,0.072016732572908027,3200
0.76000000000000001,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.14401422806234632,0.075711039964362542,3200
0.80000000000000004,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.26132292611454205,0.084760772280722665,3200
0.80000000000000004,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.31987936142918211,0.048504348055836054,3200
0.80000000000000004,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.28933337158014427,0.074987303442131878,3200
0.85999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.40992636658868947,0.036630190420170274,3200
0.85999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.43784152095212758,0.042920531234944624,3200
0.85999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.41936440226891336,0.046368653865464016,3200
0.94999999999999996,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.51504490573547512,0.031207953290030274,3200
0.94999999999999996,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.52124879983551342,0.034553549259710097,3200
0.94999999999999996,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.5089173593139672,0.031786863239104055,3200
1.1000000000000001,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.61454282353354062,0.025754413392624922,3200
1.1000000000000001,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.623253096245862,0.023407265186295909,3200
1.1000000000000001,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.61328598530607581,0.024679494948154867,3200
1.3999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.72805219892485784,0.015457300177017259,3200
1.3999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.7253467044612314,0.016326675991251403,3200
1.3999999999999999,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.72288539103577232,0.015198620461174072,3200
2,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.82361572687299511,0.01139324063295474,3200
2,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.82281704364446795,0.012300351313135638,3200
2,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.82165933927240342,0.011517224874795843,3200
3.4500000000000002,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,1729,0.90321211217937758,0.0072187104818778984,3200
3.4500000000000002,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,2718,0.90297332369827488,0.0074067832427937626,3200
3.4500000000000002,0.25,0.12,0.73999999999999999,512,0.01,240,160,5,31415,0.902935185186721,0.0071572970666590151,3200
